model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
0,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 17}","[0.8, 0.77, 0.77, 0.7, 0.85, 0.73, 0.72, 0.67, 0.75, 0.8, 0.82, 0.75, 0.85, 0.75, 0.7, 0.7, 0.75, 0.78, 0.82, 0.68]",0.758,"[0.7, 0.783, 0.75, 0.683, 0.667, 0.8, 0.75, 0.717, 0.783, 0.75, 0.767, 0.75, 0.717, 0.783, 0.75, 0.65, 0.7, 0.767, 0.767, 0.65, 0.783, 0.833, 0.7, 0.683, 0.667, 0.7, 0.733, 0.8, 0.75, 0.667, 0.733, 0.833, 0.7, 0.7, 0.817, 0.717, 0.833, 0.733, 0.833, 0.817, 0.783, 0.8, 0.733, 0.667, 0.783, 0.733, 0.65, 0.767, 0.75, 0.667, 0.767, 0.783, 0.733, 0.667, 0.75, 0.683, 0.767, 0.683, 0.783, 0.7, 0.75, 0.75, 0.783, 0.8, 0.7, 0.733, 0.783, 0.767, 0.8, 0.717, 0.733, 0.767, 0.767, 0.733, 0.75, 0.667, 0.7, 0.75, 0.7, 0.75, 0.717, 0.7, 0.733, 0.7, 0.767, 0.8, 0.817, 0.8, 0.683, 0.717, 0.683, 0.717, 0.767, 0.7, 0.733, 0.683, 0.683, 0.7, 0.75, 0.8]",0.739
1,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 16}","[0.77, 0.77, 0.77, 0.72, 0.85, 0.68, 0.73, 0.65, 0.78, 0.78, 0.82, 0.75, 0.85, 0.75, 0.72, 0.7, 0.75, 0.78, 0.82, 0.7]",0.757,"[0.683, 0.783, 0.717, 0.7, 0.667, 0.783, 0.75, 0.7, 0.8, 0.7, 0.767, 0.717, 0.733, 0.767, 0.75, 0.65, 0.717, 0.817, 0.767, 0.617, 0.75, 0.817, 0.7, 0.683, 0.633, 0.7, 0.75, 0.767, 0.75, 0.683, 0.733, 0.817, 0.717, 0.733, 0.817, 0.75, 0.817, 0.75, 0.817, 0.783, 0.767, 0.8, 0.75, 0.65, 0.783, 0.75, 0.667, 0.75, 0.75, 0.667, 0.75, 0.767, 0.733, 0.667, 0.75, 0.683, 0.75, 0.667, 0.767, 0.683, 0.75, 0.767, 0.783, 0.767, 0.7, 0.767, 0.783, 0.767, 0.767, 0.717, 0.733, 0.75, 0.783, 0.75, 0.733, 0.683, 0.683, 0.717, 0.7, 0.733, 0.667, 0.683, 0.717, 0.667, 0.783, 0.767, 0.767, 0.867, 0.7, 0.717, 0.683, 0.717, 0.75, 0.683, 0.783, 0.683, 0.717, 0.7, 0.767, 0.8]",0.735
2,random_forest,"{'n_estimators': 205, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 19}","[0.78, 0.78, 0.77, 0.73, 0.83, 0.7, 0.73, 0.67, 0.78, 0.77, 0.8, 0.75, 0.85, 0.77, 0.72, 0.72, 0.75, 0.77, 0.78, 0.68]",0.757,"[0.75, 0.767, 0.717, 0.7, 0.683, 0.8, 0.767, 0.7, 0.833, 0.733, 0.767, 0.733, 0.7, 0.767, 0.767, 0.65, 0.7, 0.75, 0.75, 0.633, 0.783, 0.817, 0.7, 0.7, 0.683, 0.733, 0.75, 0.767, 0.717, 0.683, 0.733, 0.817, 0.683, 0.717, 0.833, 0.717, 0.833, 0.733, 0.817, 0.8, 0.767, 0.783, 0.733, 0.683, 0.767, 0.767, 0.65, 0.75, 0.783, 0.65, 0.75, 0.767, 0.75, 0.65, 0.75, 0.7, 0.783, 0.683, 0.733, 0.7, 0.75, 0.767, 0.783, 0.767, 0.75, 0.733, 0.783, 0.733, 0.8, 0.75, 0.75, 0.767, 0.783, 0.733, 0.75, 0.65, 0.683, 0.733, 0.733, 0.75, 0.717, 0.717, 0.733, 0.65, 0.75, 0.767, 0.817, 0.817, 0.7, 0.683, 0.7, 0.733, 0.783, 0.7, 0.75, 0.683, 0.717, 0.683, 0.733, 0.783]",0.738
3,random_forest,"{'n_estimators': 205, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 20}","[0.8, 0.8, 0.77, 0.67, 0.83, 0.72, 0.75, 0.65, 0.78, 0.77, 0.78, 0.75, 0.87, 0.75, 0.73, 0.73, 0.73, 0.77, 0.8, 0.67]",0.756,"[0.7, 0.767, 0.717, 0.717, 0.683, 0.783, 0.767, 0.717, 0.8, 0.683, 0.8, 0.717, 0.717, 0.767, 0.733, 0.683, 0.717, 0.8, 0.75, 0.667, 0.8, 0.817, 0.7, 0.683, 0.65, 0.7, 0.717, 0.783, 0.75, 0.65, 0.717, 0.8, 0.7, 0.683, 0.833, 0.717, 0.833, 0.733, 0.817, 0.8, 0.767, 0.783, 0.75, 0.65, 0.767, 0.767, 0.65, 0.767, 0.75, 0.65, 0.783, 0.8, 0.733, 0.667, 0.733, 0.683, 0.75, 0.717, 0.767, 0.7, 0.767, 0.75, 0.783, 0.8, 0.717, 0.717, 0.767, 0.75, 0.8, 0.733, 0.75, 0.767, 0.767, 0.75, 0.717, 0.683, 0.683, 0.767, 0.717, 0.733, 0.7, 0.683, 0.7, 0.683, 0.767, 0.783, 0.833, 0.817, 0.683, 0.7, 0.7, 0.717, 0.767, 0.717, 0.75, 0.683, 0.717, 0.7, 0.75, 0.767]",0.737
4,random_forest,"{'n_estimators': 205, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 17}","[0.75, 0.77, 0.77, 0.7, 0.85, 0.68, 0.77, 0.68, 0.77, 0.8, 0.8, 0.77, 0.85, 0.75, 0.72, 0.65, 0.73, 0.78, 0.82, 0.7]",0.756,"[0.733, 0.767, 0.717, 0.683, 0.667, 0.8, 0.75, 0.717, 0.783, 0.733, 0.783, 0.717, 0.717, 0.767, 0.75, 0.667, 0.717, 0.817, 0.783, 0.633, 0.767, 0.817, 0.7, 0.7, 0.717, 0.717, 0.767, 0.733, 0.75, 0.667, 0.733, 0.8, 0.7, 0.75, 0.833, 0.733, 0.833, 0.733, 0.817, 0.8, 0.767, 0.8, 0.733, 0.7, 0.783, 0.767, 0.65, 0.767, 0.783, 0.667, 0.75, 0.783, 0.767, 0.65, 0.75, 0.7, 0.733, 0.733, 0.767, 0.683, 0.75, 0.75, 0.8, 0.817, 0.717, 0.733, 0.783, 0.75, 0.783, 0.7, 0.767, 0.783, 0.75, 0.75, 0.717, 0.7, 0.667, 0.767, 0.7, 0.75, 0.683, 0.7, 0.717, 0.65, 0.783, 0.75, 0.8, 0.817, 0.683, 0.717, 0.7, 0.717, 0.767, 0.683, 0.733, 0.683, 0.7, 0.7, 0.75, 0.783]",0.74
5,random_forest,"{'n_estimators': 205, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 18}","[0.77, 0.78, 0.75, 0.7, 0.85, 0.7, 0.73, 0.67, 0.77, 0.82, 0.82, 0.75, 0.85, 0.75, 0.68, 0.68, 0.75, 0.77, 0.78, 0.72]",0.754,"[0.733, 0.767, 0.75, 0.7, 0.667, 0.8, 0.767, 0.717, 0.783, 0.733, 0.8, 0.717, 0.717, 0.75, 0.733, 0.683, 0.733, 0.783, 0.783, 0.667, 0.8, 0.817, 0.7, 0.667, 0.667, 0.733, 0.75, 0.767, 0.767, 0.667, 0.733, 0.817, 0.717, 0.7, 0.833, 0.717, 0.8, 0.733, 0.817, 0.817, 0.767, 0.817, 0.75, 0.667, 0.767, 0.75, 0.633, 0.767, 0.75, 0.683, 0.75, 0.783, 0.75, 0.65, 0.767, 0.683, 0.75, 0.683, 0.75, 0.7, 0.767, 0.767, 0.783, 0.8, 0.733, 0.75, 0.767, 0.75, 0.817, 0.717, 0.733, 0.767, 0.817, 0.733, 0.733, 0.667, 0.717, 0.767, 0.717, 0.767, 0.683, 0.717, 0.717, 0.7, 0.75, 0.8, 0.833, 0.8, 0.7, 0.683, 0.683, 0.733, 0.75, 0.7, 0.75, 0.683, 0.717, 0.7, 0.75, 0.783]",0.741
6,random_forest,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 19}","[0.8, 0.77, 0.75, 0.67, 0.85, 0.73, 0.72, 0.65, 0.75, 0.8, 0.8, 0.77, 0.85, 0.77, 0.75, 0.68, 0.75, 0.77, 0.78, 0.68]",0.754,"[0.717, 0.767, 0.75, 0.717, 0.683, 0.783, 0.767, 0.717, 0.817, 0.683, 0.733, 0.717, 0.7, 0.767, 0.75, 0.65, 0.717, 0.8, 0.733, 0.65, 0.75, 0.85, 0.7, 0.717, 0.683, 0.717, 0.767, 0.767, 0.733, 0.683, 0.733, 0.817, 0.733, 0.717, 0.833, 0.733, 0.833, 0.733, 0.817, 0.817, 0.783, 0.817, 0.75, 0.683, 0.767, 0.75, 0.633, 0.75, 0.8, 0.667, 0.767, 0.767, 0.717, 0.65, 0.75, 0.667, 0.75, 0.667, 0.767, 0.7, 0.767, 0.767, 0.783, 0.783, 0.733, 0.783, 0.75, 0.767, 0.783, 0.683, 0.767, 0.75, 0.817, 0.783, 0.7, 0.667, 0.65, 0.75, 0.717, 0.733, 0.7, 0.717, 0.75, 0.667, 0.767, 0.8, 0.85, 0.85, 0.7, 0.683, 0.717, 0.717, 0.8, 0.683, 0.717, 0.667, 0.733, 0.683, 0.767, 0.8]",0.74
7,random_forest,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 19}","[0.75, 0.77, 0.77, 0.7, 0.83, 0.72, 0.73, 0.65, 0.77, 0.82, 0.82, 0.75, 0.85, 0.73, 0.68, 0.7, 0.75, 0.78, 0.8, 0.72]",0.754,"[0.717, 0.75, 0.75, 0.7, 0.667, 0.783, 0.75, 0.7, 0.767, 0.733, 0.767, 0.75, 0.733, 0.75, 0.767, 0.733, 0.7, 0.817, 0.733, 0.65, 0.767, 0.85, 0.717, 0.7, 0.633, 0.7, 0.733, 0.75, 0.733, 0.667, 0.75, 0.8, 0.7, 0.717, 0.833, 0.75, 0.833, 0.783, 0.817, 0.8, 0.783, 0.8, 0.767, 0.667, 0.8, 0.717, 0.667, 0.75, 0.8, 0.667, 0.75, 0.767, 0.733, 0.65, 0.75, 0.667, 0.75, 0.667, 0.767, 0.7, 0.767, 0.783, 0.817, 0.783, 0.7, 0.75, 0.8, 0.783, 0.767, 0.7, 0.75, 0.767, 0.767, 0.733, 0.733, 0.667, 0.65, 0.733, 0.717, 0.75, 0.683, 0.717, 0.75, 0.683, 0.783, 0.75, 0.75, 0.833, 0.717, 0.7, 0.683, 0.733, 0.75, 0.683, 0.717, 0.683, 0.717, 0.7, 0.733, 0.8]",0.738
8,random_forest,"{'n_estimators': 220, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 18}","[0.78, 0.77, 0.72, 0.77, 0.85, 0.7, 0.7, 0.67, 0.77, 0.78, 0.8, 0.77, 0.83, 0.75, 0.73, 0.65, 0.75, 0.77, 0.8, 0.72]",0.754,"[0.7, 0.783, 0.717, 0.733, 0.65, 0.8, 0.733, 0.717, 0.817, 0.7, 0.783, 0.733, 0.733, 0.783, 0.783, 0.683, 0.7, 0.8, 0.783, 0.65, 0.783, 0.817, 0.683, 0.667, 0.65, 0.7, 0.733, 0.767, 0.75, 0.667, 0.733, 0.817, 0.683, 0.717, 0.833, 0.733, 0.817, 0.767, 0.833, 0.783, 0.767, 0.833, 0.75, 0.65, 0.8, 0.767, 0.667, 0.767, 0.767, 0.7, 0.75, 0.8, 0.733, 0.633, 0.75, 0.683, 0.767, 0.683, 0.75, 0.683, 0.783, 0.75, 0.783, 0.75, 0.75, 0.75, 0.767, 0.75, 0.817, 0.717, 0.717, 0.75, 0.783, 0.767, 0.75, 0.683, 0.667, 0.783, 0.683, 0.733, 0.65, 0.733, 0.733, 0.667, 0.75, 0.783, 0.817, 0.817, 0.7, 0.717, 0.683, 0.717, 0.75, 0.667, 0.717, 0.683, 0.717, 0.717, 0.783, 0.783]",0.739
9,random_forest,"{'n_estimators': 205, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 18}","[0.78, 0.77, 0.77, 0.77, 0.8, 0.65, 0.75, 0.67, 0.78, 0.78, 0.83, 0.75, 0.85, 0.73, 0.72, 0.67, 0.75, 0.75, 0.78, 0.72]",0.754,"[0.717, 0.75, 0.717, 0.717, 0.683, 0.767, 0.733, 0.733, 0.767, 0.733, 0.75, 0.717, 0.717, 0.767, 0.767, 0.667, 0.683, 0.75, 0.767, 0.617, 0.767, 0.833, 0.683, 0.683, 0.65, 0.733, 0.75, 0.733, 0.733, 0.7, 0.733, 0.817, 0.683, 0.717, 0.833, 0.75, 0.85, 0.75, 0.833, 0.8, 0.783, 0.817, 0.75, 0.667, 0.75, 0.717, 0.65, 0.767, 0.767, 0.633, 0.75, 0.8, 0.7, 0.65, 0.75, 0.7, 0.75, 0.7, 0.8, 0.667, 0.767, 0.75, 0.783, 0.767, 0.7, 0.733, 0.783, 0.733, 0.783, 0.733, 0.783, 0.767, 0.783, 0.733, 0.733, 0.65, 0.667, 0.75, 0.733, 0.767, 0.7, 0.717, 0.7, 0.7, 0.733, 0.75, 0.783, 0.817, 0.7, 0.683, 0.667, 0.717, 0.75, 0.7, 0.817, 0.667, 0.7, 0.683, 0.75, 0.8]",0.736
