model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
10,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.63, 0.73, 0.75, 0.78, 0.72, 0.72, 0.72, 0.78, 0.68, 0.7, 0.77, 0.7, 0.75, 0.75, 0.7, 0.73, 0.77, 0.73, 0.72, 0.75]",0.729,"[0.7, 0.717, 0.717, 0.717, 0.767, 0.75, 0.633, 0.767, 0.7, 0.7, 0.817, 0.683, 0.767, 0.733, 0.583, 0.683, 0.733, 0.733, 0.8, 0.683, 0.733, 0.667, 0.717, 0.75, 0.717, 0.733, 0.767, 0.717, 0.65, 0.783, 0.667, 0.75, 0.65, 0.733, 0.867, 0.733, 0.75, 0.717, 0.733, 0.717, 0.733, 0.783, 0.667, 0.75, 0.767, 0.767, 0.767, 0.717, 0.75, 0.8, 0.717, 0.85, 0.717, 0.733, 0.717, 0.633, 0.717, 0.767, 0.7, 0.733, 0.783, 0.717, 0.75, 0.767, 0.783, 0.767, 0.65, 0.733, 0.65, 0.733, 0.7, 0.733, 0.717, 0.733, 0.733, 0.783, 0.767, 0.75, 0.717, 0.783, 0.7, 0.7, 0.817, 0.733, 0.7, 0.783, 0.733, 0.817, 0.717, 0.717, 0.717, 0.767, 0.683, 0.817, 0.717, 0.6, 0.7, 0.75, 0.717, 0.683]",0.73
11,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.65, 0.68, 0.72, 0.77, 0.77, 0.75, 0.68, 0.78, 0.72, 0.72, 0.75, 0.78, 0.8, 0.8, 0.63, 0.7, 0.75, 0.73, 0.72, 0.67]",0.729,"[0.65, 0.633, 0.767, 0.7, 0.65, 0.7, 0.617, 0.75, 0.7, 0.733, 0.783, 0.683, 0.7, 0.733, 0.667, 0.683, 0.767, 0.717, 0.733, 0.75, 0.733, 0.683, 0.717, 0.733, 0.733, 0.717, 0.767, 0.717, 0.667, 0.783, 0.667, 0.717, 0.617, 0.75, 0.783, 0.733, 0.733, 0.65, 0.717, 0.683, 0.75, 0.767, 0.733, 0.717, 0.717, 0.717, 0.75, 0.717, 0.8, 0.733, 0.667, 0.767, 0.733, 0.75, 0.7, 0.7, 0.733, 0.717, 0.65, 0.767, 0.783, 0.667, 0.65, 0.733, 0.783, 0.717, 0.683, 0.767, 0.65, 0.75, 0.7, 0.65, 0.767, 0.75, 0.733, 0.8, 0.733, 0.717, 0.7, 0.7, 0.75, 0.7, 0.75, 0.733, 0.733, 0.767, 0.733, 0.8, 0.783, 0.7, 0.717, 0.75, 0.667, 0.783, 0.7, 0.667, 0.667, 0.75, 0.667, 0.733]",0.72
12,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.65, 0.73, 0.73, 0.78, 0.77, 0.73, 0.67, 0.77, 0.7, 0.7, 0.75, 0.78, 0.73, 0.82, 0.6, 0.72, 0.77, 0.75, 0.72, 0.7]",0.728,"[0.683, 0.717, 0.767, 0.7, 0.7, 0.717, 0.65, 0.75, 0.7, 0.717, 0.817, 0.717, 0.717, 0.733, 0.633, 0.683, 0.767, 0.717, 0.767, 0.717, 0.717, 0.667, 0.65, 0.7, 0.75, 0.717, 0.767, 0.683, 0.633, 0.767, 0.7, 0.733, 0.65, 0.717, 0.833, 0.75, 0.717, 0.65, 0.733, 0.683, 0.683, 0.767, 0.717, 0.733, 0.733, 0.717, 0.767, 0.667, 0.783, 0.767, 0.7, 0.8, 0.75, 0.733, 0.8, 0.667, 0.7, 0.717, 0.683, 0.733, 0.8, 0.667, 0.667, 0.8, 0.783, 0.717, 0.667, 0.75, 0.667, 0.75, 0.7, 0.683, 0.767, 0.717, 0.75, 0.767, 0.733, 0.75, 0.717, 0.767, 0.717, 0.7, 0.767, 0.767, 0.7, 0.767, 0.733, 0.783, 0.767, 0.733, 0.717, 0.767, 0.65, 0.833, 0.717, 0.667, 0.717, 0.767, 0.683, 0.7]",0.725
13,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.68, 0.75, 0.75, 0.77, 0.68, 0.72, 0.72, 0.77, 0.68, 0.72, 0.77, 0.75, 0.7, 0.75, 0.7, 0.73, 0.73, 0.73, 0.72, 0.75]",0.728,"[0.7, 0.7, 0.7, 0.7, 0.767, 0.75, 0.667, 0.75, 0.7, 0.717, 0.817, 0.65, 0.75, 0.733, 0.6, 0.667, 0.7, 0.733, 0.7, 0.75, 0.733, 0.667, 0.7, 0.767, 0.733, 0.75, 0.733, 0.717, 0.65, 0.817, 0.717, 0.8, 0.617, 0.733, 0.817, 0.733, 0.733, 0.75, 0.733, 0.667, 0.767, 0.733, 0.683, 0.767, 0.767, 0.75, 0.767, 0.683, 0.75, 0.75, 0.783, 0.8, 0.7, 0.717, 0.75, 0.667, 0.733, 0.8, 0.733, 0.75, 0.783, 0.7, 0.733, 0.767, 0.817, 0.717, 0.667, 0.7, 0.617, 0.75, 0.717, 0.733, 0.7, 0.733, 0.733, 0.8, 0.817, 0.733, 0.7, 0.75, 0.733, 0.7, 0.783, 0.733, 0.733, 0.75, 0.733, 0.8, 0.717, 0.717, 0.717, 0.767, 0.683, 0.783, 0.717, 0.633, 0.65, 0.75, 0.7, 0.683]",0.728
14,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.63, 0.72, 0.75, 0.8, 0.73, 0.75, 0.68, 0.77, 0.72, 0.68, 0.75, 0.75, 0.75, 0.78, 0.63, 0.73, 0.77, 0.73, 0.75, 0.68]",0.728,"[]",-
15,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.7, 0.72, 0.73, 0.8, 0.73, 0.68, 0.73, 0.75, 0.65, 0.7, 0.8, 0.73, 0.75, 0.77, 0.7, 0.67, 0.8, 0.75, 0.7, 0.68]",0.727,"[]",-
16,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.63, 0.72, 0.78, 0.78, 0.67, 0.77, 0.72, 0.77, 0.63, 0.7, 0.78, 0.73, 0.72, 0.75, 0.68, 0.75, 0.73, 0.72, 0.75, 0.75]",0.726,"[]",-
17,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.67, 0.73, 0.72, 0.78, 0.7, 0.72, 0.68, 0.77, 0.68, 0.73, 0.73, 0.75, 0.75, 0.8, 0.67, 0.75, 0.75, 0.75, 0.7, 0.7]",0.726,"[]",-
18,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': 8, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.65, 0.72, 0.73, 0.78, 0.68, 0.7, 0.77, 0.8, 0.68, 0.72, 0.75, 0.73, 0.72, 0.77, 0.67, 0.72, 0.72, 0.75, 0.73, 0.73]",0.726,"[]",-
19,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.65, 0.63, 0.73, 0.75, 0.75, 0.73, 0.68, 0.78, 0.73, 0.7, 0.73, 0.78, 0.8, 0.78, 0.62, 0.73, 0.77, 0.78, 0.73, 0.67]",0.726,"[]",-
20,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': 6, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.68, 0.73, 0.77, 0.77, 0.7, 0.73, 0.72, 0.78, 0.7, 0.68, 0.73, 0.73, 0.72, 0.77, 0.68, 0.72, 0.72, 0.72, 0.73, 0.73]",0.726,"[]",-
21,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.68, 0.72, 0.75, 0.8, 0.7, 0.7, 0.72, 0.75, 0.65, 0.67, 0.78, 0.73, 0.75, 0.75, 0.68, 0.68, 0.8, 0.75, 0.72, 0.73]",0.726,"[]",-
22,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': 8, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.7, 0.73, 0.75, 0.78, 0.68, 0.68, 0.73, 0.77, 0.68, 0.7, 0.78, 0.7, 0.73, 0.77, 0.68, 0.72, 0.73, 0.72, 0.75, 0.73]",0.726,"[]",-
23,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.65, 0.7, 0.73, 0.75, 0.75, 0.75, 0.65, 0.8, 0.7, 0.7, 0.72, 0.78, 0.8, 0.78, 0.62, 0.7, 0.77, 0.77, 0.7, 0.68]",0.725,"[]",-
24,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.65, 0.75, 0.72, 0.77, 0.72, 0.68, 0.7, 0.78, 0.7, 0.73, 0.75, 0.73, 0.72, 0.77, 0.68, 0.73, 0.73, 0.72, 0.73, 0.73]",0.725,"[]",-
25,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.65, 0.68, 0.75, 0.77, 0.75, 0.7, 0.7, 0.75, 0.72, 0.7, 0.72, 0.77, 0.78, 0.82, 0.62, 0.7, 0.77, 0.73, 0.72, 0.68]",0.724,"[]",-
26,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': 8, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.67, 0.77, 0.75, 0.78, 0.67, 0.77, 0.72, 0.77, 0.68, 0.68, 0.75, 0.73, 0.68, 0.75, 0.65, 0.73, 0.73, 0.73, 0.73, 0.73]",0.724,"[]",-
27,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.72, 0.68, 0.73, 0.78, 0.68, 0.68, 0.72, 0.75, 0.7, 0.7, 0.78, 0.7, 0.72, 0.75, 0.68, 0.72, 0.77, 0.72, 0.72, 0.77]",0.724,"[]",-
28,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.68, 0.68, 0.73, 0.78, 0.68, 0.72, 0.7, 0.77, 0.68, 0.7, 0.78, 0.73, 0.72, 0.78, 0.68, 0.72, 0.72, 0.72, 0.73, 0.77]",0.724,"[]",-
29,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': 9, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.68, 0.73, 0.75, 0.77, 0.7, 0.7, 0.72, 0.78, 0.68, 0.7, 0.77, 0.72, 0.72, 0.75, 0.68, 0.73, 0.75, 0.67, 0.7, 0.77]",0.724,"[]",-
30,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.65, 0.7, 0.77, 0.78, 0.68, 0.72, 0.7, 0.77, 0.67, 0.68, 0.77, 0.75, 0.72, 0.78, 0.65, 0.73, 0.73, 0.75, 0.73, 0.73]",0.723,"[]",-
31,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.67, 0.75, 0.77, 0.73, 0.77, 0.68, 0.7, 0.77, 0.65, 0.7, 0.82, 0.75, 0.72, 0.75, 0.67, 0.7, 0.73, 0.78, 0.67, 0.68]",0.723,"[]",-
32,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.68, 0.7, 0.73, 0.77, 0.7, 0.7, 0.72, 0.75, 0.68, 0.7, 0.75, 0.72, 0.73, 0.77, 0.68, 0.72, 0.75, 0.72, 0.75, 0.73]",0.722,"[]",-
